song_name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
679 (feat. Remy Boyz),"['Fetty Wap', 'Remy Boyz']",76,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693,4
All The Way Up (Remix),"['Fat Joe', 'Remy Ma', 'JAY Z', 'French Montana', 'InfaRed']",70,0.564,0.717,10,-6.403,0,0.397,0.097,0,0.493,0.423,117.489,audio_features,2AYTGaclgKXACh13nJRVcV,spotify:track:2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/tracks/2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/audio-analysis/2AYTGaclgKXACh13nJRVcV,284831,5
White Iverson,['Post Malone'],82,0.674,0.568,7,-7.678,1,0.0349,0.216,0,0.0863,0.321,130.081,audio_features,6eT7xZZlB2mwyzJ2sUKG6w,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/tracks/6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/audio-analysis/6eT7xZZlB2mwyzJ2sUKG6w,256533,4
Cut It (feat. Young Dolph),"['O.T. Genasis', 'Young Dolph']",71,0.875,0.673,7,-4.184,1,0.0932,0.135,0,0.292,0.231,130.0,audio_features,376KnY4TrgBITxjlnbnmIy,spotify:track:376KnY4TrgBITxjlnbnmIy,https://api.spotify.com/v1/tracks/376KnY4TrgBITxjlnbnmIy,https://api.spotify.com/v1/audio-analysis/376KnY4TrgBITxjlnbnmIy,222600,4
Wicked,['Future'],68,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,audio_features,6BbINUfGabVyiNFJpQXn3x,spotify:track:6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/tracks/6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/audio-analysis/6BbINUfGabVyiNFJpQXn3x,173347,4
Tiimmy Turner,['Desiigner'],73,0.597,0.743,6,-3.095,1,0.042,0.181,0,0.0796,0.299,122.798,audio_features,3NJG6vMH1ZsectZkocMEm0,spotify:track:3NJG6vMH1ZsectZkocMEm0,https://api.spotify.com/v1/tracks/3NJG6vMH1ZsectZkocMEm0,https://api.spotify.com/v1/audio-analysis/3NJG6vMH1ZsectZkocMEm0,239853,4
Really Really,['Kevin Gates'],73,0.762,0.666,0,-6.055,1,0.0916,0.00427,0,0.127,0.278,118.97,audio_features,10I3CmmwT0BkOVhduDy53o,spotify:track:10I3CmmwT0BkOVhduDy53o,https://api.spotify.com/v1/tracks/10I3CmmwT0BkOVhduDy53o,https://api.spotify.com/v1/audio-analysis/10I3CmmwT0BkOVhduDy53o,232093,4
Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",76,0.794,0.646,0,-6.235,1,0.0614,0.13,0,0.14,0.322,145.931,audio_features,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,291893,4
Summer Sixteen,['Drake'],64,0.592,0.455,1,-7.698,1,0.393,0.00322,3.72e-05,0.154,0.0633,146.316,audio_features,17Q87zeXgsAi9iQQbMu9v0,spotify:track:17Q87zeXgsAi9iQQbMu9v0,https://api.spotify.com/v1/tracks/17Q87zeXgsAi9iQQbMu9v0,https://api.spotify.com/v1/audio-analysis/17Q87zeXgsAi9iQQbMu9v0,202451,4
I Got the Keys,"['DJ Khaled', 'JAY Z', 'Future']",61,0.686,0.623,1,-3.425,1,0.13,0.00287,0.00145,0.219,0.176,140.171,audio_features,51Nwg5wCDDiqcTntgJUlLo,spotify:track:51Nwg5wCDDiqcTntgJUlLo,https://api.spotify.com/v1/tracks/51Nwg5wCDDiqcTntgJUlLo,https://api.spotify.com/v1/audio-analysis/51Nwg5wCDDiqcTntgJUlLo,219759,4
Best Friend,['Young Thug'],67,0.959,0.598,8,-5.534,1,0.0713,0.0358,0,0.358,0.408,127.029,audio_features,33JcUj9qQDayKswunZP9ar,spotify:track:33JcUj9qQDayKswunZP9ar,https://api.spotify.com/v1/tracks/33JcUj9qQDayKswunZP9ar,https://api.spotify.com/v1/audio-analysis/33JcUj9qQDayKswunZP9ar,213000,4
